YEAR,COUNTY,FREQUENCY
2007,Douglas,≤50
2007,DuPage,1963
2007,Edgar,≤50
2007,Edwards,≤50
2007,Effingham,≤50
2007,Fayette,≤50
2007,Ford,≤50
2007,Franklin,51
2007,Fulton,≤50
2007,Gallatin,≤50
2007,Greene,≤50
2007,Grundy,≤50
2007,Hamilton,≤50
2007,Hancock,≤50
2007,Hardin,≤50
2007,Henderson,≤50
2007,Henry,≤50
2007,Iroquois,≤50
2007,Jackson,97
2007,Jasper,≤50
2007,Jefferson,57
2007,Jersey,≤50
2007,Jo Daviess,≤50
2007,Johnson,≤50
2007,Kane,832
2007,Kankakee,109
2007,Kendall,112
2007,Knox,71
2007,Lake,1591
2007,LaSalle,143
2007,Lawrence,≤50
2007,Lee,≤50
2007,Livingston,≤50
2007,Logan,≤50
2007,McDonough,≤50
2007,McHenry,564
2007,McLean,267
2007,Macon,150
2007,Macoupin,52
2007,Madison,586
2007,Marion,≤50
2007,Marshall,≤50
2007,Mason,≤50
2007,Massac,≤50
2007,Menard,≤50
2007,Mercer,≤50
2007,Monroe,≤50
2007,Montgomery,≤50
2007,Morgan,≤50
2007,Moultrie,≤50
2007,Ogle,56
2007,Peoria,478
2007,Perry,≤50
2007,Piatt,≤50
2007,Pike,≤50
2007,Pope,≤50
2007,Pulaski,≤50
2007,Putnam,≤50
2007,Randolph,≤50
2007,Richland,≤50
2007,Rock Island,≤50
2007,St. Clair,793
2007,Saline,≤50
2007,Sangamon,358
2007,Schuyler,≤50
2007,Scott,≤50
2007,Shelby,≤50
2007,Stark,≤50
2007,Stephenson,≤50
2007,Tazewell,145
2007,Union,≤50
2007,Vermilion,124
2007,Wabash,≤50
2007,Warren,≤50
2007,Washington,≤50
2007,Wayne,≤50
2007,White,≤50
2007,Whiteside,≤50
2007,Will,953
2007,Williamson,76
2007,Winnebago,623
2007,Woodford,≤50
2008,Adams,61
2008,Alexander,≤50
2008,Bond,≤50
2008,Boone,77
2008,Brown,≤50
2008,Bureau,≤50
2008,Calhoun,≤50
2008,Carroll,≤50
2008,Cass,≤50
2008,Champaign,468
2008,Christian,≤50
2008,Clark,≤50
2008,Clay,≤50
2008,Clinton,≤50
2008,Coles,57
2008,Cook,25529
2008,Crawford,≤50
2008,Cumberland,≤50
2008,DeKalb,207
2008,DeWitt,≤50
2008,Douglas,≤50
2008,DuPage,1941
2008,Edgar,≤50
2008,Edwards,≤50
2008,Effingham,≤50
2008,Fayette,≤50
2008,Ford,≤50
2008,Franklin,51
2008,Fulton,51
2008,Gallatin,≤50
2008,Greene,≤50
2008,Grundy,≤50
2008,Hamilton,≤50
2008,Hancock,≤50
2008,Hardin,≤50
2008,Henderson,≤50
2008,Henry,≤50
2008,Iroquois,≤50
2008,Jackson,168
2008,Jasper,≤50
2008,Jefferson,≤50
2008,Jersey,≤50
2008,Jo Daviess,≤50
2008,Johnson,≤50
2008,Kane,1145
2008,Kankakee,114
2008,Kendall,194
2008,Knox,72
2008,Lake,1599
2008,LaSalle,144
2008,Lawrence,≤50
2008,Lee,≤50
2008,Livingston,≤50
2008,Logan,≤50
2008,McDonough,55
2008,McHenry,562
2008,McLean,313
2008,Macon,139
2008,Macoupin,57
2008,Madison,593
2008,Marion,52
2008,Marshall,≤50
2008,Mason,≤50
2008,Massac,≤50
2008,Menard,≤50
2008,Mercer,≤50
2008,Monroe,≤50
2008,Montgomery,≤50
2008,Morgan,≤50
2008,Moultrie,≤50
2008,Ogle,69
2008,Peoria,666
2008,Perry,≤50
2008,Piatt,≤50
2008,Pike,≤50
2008,Pope,≤50
2008,Pulaski,≤50
2008,Putnam,≤50
2008,Randolph,≤50
2008,Richland,≤50
2008,Rock Island,≤50
2008,St. Clair,907
2008,Saline,≤50
2008,Sangamon,358
2008,Schuyler,≤50
2008,Scott,≤50
2008,Shelby,≤50
2008,Stark,≤50
2008,Stephenson,55
2008,Tazewell,229
2008,Union,≤50
2008,Vermilion,107
2008,Wabash,≤50
2008,Warren,≤50
2008,Washington,≤50
2008,Wayne,≤50
2008,White,≤50
2008,Whiteside,≤50
2008,Will,1161
2008,Williamson,74
2008,Winnebago,593
2008,Woodford,≤50
2009,Adams,61
2009,Alexander,≤50
2009,Bond,≤50
2009,Boone,97
2009,Brown,≤50
2009,Bureau,≤50
2009,Calhoun,≤50
2009,Carroll,≤50
2009,Cass,≤50
2009,Champaign,468
2009,Christian,≤50
2009,Clark,≤50
2009,Clay,≤50
2009,Clinton,≤50
2009,Coles,≤50
2009,Cook,25196
2009,Crawford,≤50
2009,Cumberland,≤50
2009,DeKalb,270
2009,Dewitt,≤50
2009,Douglas,≤50
2009,DuPage,2155
2009,Edgar,≤50
2009,Edwards,≤50
2009,Effingham,≤50
2009,Fayette,≤50
2009,Ford,≤50
2009,Franklin,≤50
2009,Fulton,≤50
2009,Gallatin,≤50
2009,Greene,≤50
2009,Grundy,51
2009,Hamilton,≤50
2009,Hancock,≤50
2009,Hardin,≤50
2009,Henderson,≤50
2009,Henry,≤50
2009,Iroquois,≤50
2009,Jackson,132
2009,Jasper,≤50
2009,Jefferson,≤50
2009,Jersey,≤50
2009,Jo Daviess,≤50
2009,Johnson,≤50
2009,Kane,1156
2009,Kankakee,123
2009,Kendall,222
2009,Knox,75
2009,Lake,1474
2009,LaSalle,174
2009,Lawrence,≤50
2009,Lee,≤50
2009,Livingston,≤50
2009,Logan,≤50
2009,McDonough,≤50
2009,McHenry,506
2009,McLean,246
2009,Macon,133
2009,Macoupin,≤50
2009,Madison,516
2009,Marion,72
2009,Marshall,≤50
2009,Mason,≤50
2009,Massac,≤50
2009,Menard,≤50
2009,Mercer,≤50
2009,Monroe,≤50
2009,Montgomery,≤50
2009,Morgan,≤50
2009,Moultrie,≤50
2009,Ogle,86
2009,Peoria,569
2009,Perry,≤50
2009,Piatt,≤50
2009,Pike,≤50
2009,Pope,≤50
2009,Pulaski,≤50
2009,Putnam,≤50
2009,Randolph,≤50
2009,Richland,≤50
2009,Rock Island,≤50
2009,St. Clair,732
2009,Saline,≤50
2009,Sangamon,299
2009,Schuyler,≤50
2009,Scott,≤50
2009,Shelby,≤50
2009,Stark,≤50
2009,Stephenson,56
2009,Tazewell,184
2009,Union,≤50
2009,Vermilion,101
2009,Wabash,≤50
2009,Warren,≤50
2009,Washington,≤50
2009,Wayne,≤50
2009,White,≤50
2009,Whiteside,≤50
2009,Will,1532
2009,Williamson,86
2009,Winnebago,511
2009,Woodford,≤50
2010,Adams,≤50
2010,Alexander,≤50
2010,Bond,≤50
2010,Boone,84
2010,Brown,≤50
2010,Bureau,≤50
2010,Calhoun,≤50
2010,Carroll,≤50
2010,Cass,≤50
2010,Champaign,287
2010,Christian,≤50
2010,Clark,≤50
2010,Clay,≤50
2010,Clinton,≤50
2010,Coles,≤50
2010,Cook,23840
2010,Crawford,≤50
2010,Cumberland,≤50
2010,DeKalb,241
2010,Dewitt,≤50
2010,Douglas,≤50
2010,DuPage,2030
2010,Edgar,≤50
2010,Edwards,≤50
2010,Effingham,≤50
2010,Fayette,≤50
2010,Ford,≤50
2010,Franklin,≤50
2010,Fulton,≤50
2010,Gallatin,≤50
2010,Greene,≤50
2010,Grundy,≤50
2010,Hamilton,≤50
2010,Hancock,≤50
2010,Hardin,≤50
2010,Henderson,≤50
2010,Henry,≤50
2010,Iroquois,≤50
2010,Jackson,135
2010,Jasper,≤50
2010,Jefferson,≤50
2010,Jersey,≤50
2010,Jo Daviess,≤50
2010,Johnson,≤50
2010,Kane,1157
2010,Kankakee,97
2010,Kendall,201
2010,Knox,58
2010,Lake,1398
2010,LaSalle,150
2010,Lawrence,≤50
2010,Lee,≤50
2010,Livingston,≤50
2010,Logan,≤50
2010,McDonough,≤50
2010,McHenry,483
2010,McLean,220
2010,Macon,107
2010,Macoupin,≤50
2010,Madison,527
2010,Marion,57
2010,Marshall,≤50
2010,Mason,≤50
2010,Massac,≤50
2010,Menard,≤50
2010,Mercer,≤50
2010,Monroe,≤50
2010,Montgomery,≤50
2010,Morgan,≤50
2010,Moultrie,≤50
2010,Ogle,68
2010,Peoria,433
2010,Perry,≤50
2010,Piatt,≤50
2010,Pike,≤50
2010,Pope,≤50
2010,Pulaski,≤50
2010,Putnam,≤50
2010,Randolph,≤50
2010,Richland,≤50
2010,Rock Island,≤50
2010,St. Clair,706
2010,Saline,≤50
2010,Sangamon,269
2010,Schuyler,≤50
2010,Scott,≤50
2010,Shelby,≤50
2010,Stark,≤50
2010,Stephenson,≤50
2010,Tazewell,154
2010,Union,≤50
2010,Vermilion,70
2010,Wabash,≤50
2010,Warren,≤50
2010,Washington,≤50
2010,Wayne,≤50
2010,White,≤50
2010,Whiteside,≤50
2010,Will,1480
2010,Williamson,77
2010,Winnebago,555
2010,Woodford,≤50
2011,Adams,≤50
2011,Alexander,≤50
2011,Bond,≤50
2011,Boone,73
2011,Brown,≤50
2011,Bureau,≤50
2011,Calhoun,≤50
2011,Carroll,≤50
2011,Cass,≤50
2011,Champaign,292
2011,Christian,≤50
2011,Clark,≤50
2011,Clay,≤50
2011,Clinton,≤50
2011,Coles,≤50
2011,Cook,24008
2011,Crawford,≤50
2011,Cumberland,≤50
2011,DeKalb,268
2011,Dewitt,≤50
2011,Douglas,≤50
2011,DuPage,1894
2011,Edgar,≤50
2011,Edwards,≤50
2011,Effingham,≤50
2011,Fayette,≤50
2011,Ford,≤50
2011,Franklin,≤50
2011,Fulton,≤50
2011,Gallatin,≤50
2011,Greene,≤50
2011,Grundy,≤50
2011,Hamilton,≤50
2011,Hancock,≤50
2011,Hardin,≤50
2011,Henderson,≤50
2011,Henry,≤50
2011,Iroquois,≤50
2011,Jackson,119
2011,Jasper,≤50
2011,Jefferson,≤50
2011,Jersey,≤50
2011,Jo Daviess,≤50
2011,Johnson,≤50
2011,Kane,1025
2011,Kankakee,139
2011,Kendall,202
2011,Knox,70
2011,Lake,1214
2011,LaSalle,125
2011,Lawrence,≤50
2011,Lee,≤50
2011,Livingston,≤50
2011,Logan,≤50
2011,McDonough,≤50
2011,McHenry,442
2011,McLean,255
2011,Macon,140
2011,Macoupin,≤50
2011,Madison,446
2011,Marion,56
2011,Marshall,≤50
2011,Mason,≤50
2011,Massac,≤50
2011,Menard,≤50
2011,Mercer,≤50
2011,Monroe,≤50
2011,Montgomery,≤50
2011,Morgan,≤50
2011,Moultrie,≤50
2011,Ogle,60
2011,Peoria,423
2011,Perry,≤50
2011,Piatt,≤50
2011,Pike,≤50
2011,Pope,≤50
2011,Pulaski,≤50
2011,Putnam,≤50
2011,Randolph,≤50
2011,Richland,≤50
2011,Rock Island,≤50
2011,St. Clair,637
2011,Saline,≤50
2011,Sangamon,379
2011,Schuyler,≤50
2011,Scott,≤50
2011,Shelby,≤50
2011,Stark,≤50
2011,Stephenson,≤50
2011,Tazewell,149
2011,Union,≤50
2011,Vermilion,92
2011,Wabash,≤50
2011,Warren,≤50
2011,Washington,≤50
2011,Wayne,≤50
2011,White,≤50
2011,Whiteside,≤50
2011,Will,1377
2011,Williamson,76
2011,Winnebago,472
2011,Woodford,≤50
2012,Adams,59
2012,Alexander,≤50
2012,Bond,≤50
2012,Boone,≤50
2012,Brown,≤50
2012,Bureau,≤50
2012,Calhoun,≤50
2012,Carroll,≤50
2012,Cass,≤50
2012,Champaign,181
2012,Christian,≤50
2012,Clark,≤50
2012,Clay,≤50
2012,Clinton,≤50
2012,Coles,≤50
2012,Cook,24899
2012,Crawford,≤50
2012,Cumberland,≤50
2012,DeKalb,253
2012,Dewitt,≤50
2012,Douglas,≤50
2012,DuPage,1989
2012,Edgar,≤50
2012,Edwards,≤50
2012,Effingham,≤50
2012,Fayette,≤50
2012,Ford,≤50
2012,Franklin,≤50
2012,Fulton,≤50
2012,Gallatin,≤50
2012,Greene,≤50
2012,Grundy,62
2012,Hamilton,≤50
2012,Hancock,≤50
2012,Hardin,≤50
2012,Henderson,≤50
2012,Henry,≤50
2012,Iroquois,≤50
2012,Jackson,111
2012,Jasper,≤50
2012,Jefferson,≤50
2012,Jersey,≤50
2012,Jo Daviess,≤50
2012,Johnson,≤50
2012,Kane,1295
2012,Kankakee,147
2012,Kendall,204
2012,Knox,81
2012,Lake,1283
2012,LaSalle,171
2012,Lawrence,≤50
2012,Lee,≤50
2012,Livingston,≤50
2012,Logan,≤50
2012,McDonough,≤50
2012,McHenry,486
2012,McLean,263
2012,Macon,147
2012,Macoupin,≤50
2012,Madison,480
2012,Marion,58
2012,Marshall,≤50
2012,Mason,≤50
2012,Massac,≤50
2012,Menard,≤50
2012,Mercer,≤50
2012,Monroe,≤50
2012,Montgomery,≤50
2012,Morgan,≤50
2012,Moultrie,≤50
2012,Ogle,59
2012,Peoria,553
2012,Perry,≤50
2012,Piatt,≤50
2012,Pike,≤50
2012,Pope,≤50
2012,Pulaski,≤50
2012,Putnam,≤50
2012,Randolph,≤50
2012,Richland,≤50
2012,Rock Island,≤50
2012,St. Clair,676
2012,Saline,≤50
2012,Sangamon,314
2012,Schuyler,≤50
2012,Scott,≤50
2012,Shelby,≤50
2012,Stark,≤50
2012,Stephenson,≤50
2012,Tazewell,152
2012,Union,≤50
2012,Vermilion,72
2012,Wabash,≤50
2012,Warren,≤50
2012,Washington,≤50
2012,Wayne,≤50
2012,White,≤50
2012,Whiteside,≤50
2012,Will,1538
2012,Williamson,55
2012,Winnebago,390
2012,Woodford,≤50
